country,content_count,avg_score,avg_popularity,avg_vote_count,movie_count,tv_count
United States of America,588,7.11,13.81,2862.0,346,242
Japan,113,7.87,13.48,1158.0,28,85
South Korea,102,7.92,12.19,952.0,16,86
United Kingdom,90,7.12,10.99,2533.0,54,36
Canada,51,6.96,11.75,1703.0,21,30
India,48,6.58,9.05,775.0,46,2
Spain,30,7.07,8.6,2119.0,20,10
France,30,7.11,9.73,2033.0,18,12
China,26,7.41,8.57,1141.0,14,12
Germany,24,6.98,10.95,3967.0,19,5
Australia,14,7.05,7.6,1652.0,9,5
Italy,11,6.8,8.33,917.0,7,4
Mexico,10,7.43,20.84,1185.0,3,7
Hong Kong,9,6.81,9.15,5201.0,9,0
Belgium,9,6.82,7.24,192.0,6,3
Thailand,8,6.9,14.96,809.0,6,2
Poland,7,6.91,16.09,2906.0,5,2
Denmark,7,7.67,9.51,496.0,2,5
Brazil,6,7.14,7.27,211.0,2,4
Argentina,6,8.11,11.73,230.0,1,5
Taiwan,5,7.21,5.84,378.0,3,2
South Africa,5,7.21,9.98,709.0,2,3
Ireland,5,7.6,24.79,2302.0,1,4
Indonesia,5,6.9,6.17,213.0,4,1
Sweden,4,7.16,6.46,362.0,2,2
Philippines,4,5.38,18.84,3.0,4,0
Colombia,4,7.42,7.71,998.0,1,3
Turkey,3,7.52,13.5,1561.0,3,0
Singapore,3,7.68,12.96,3392.0,1,2
Norway,3,7.23,6.8,717.0,2,1
Netherlands,3,6.64,11.34,159.0,2,1
Czech Republic,3,7.02,9.53,3424.0,3,0
Austria,3,6.8,10.15,2725.0,3,0
United Arab Emirates,2,6.57,6.16,3048.0,2,0
New Zealand,2,6.46,6.88,909.0,1,1
Morocco,2,7.17,6.91,775.0,1,1
Israel,2,7.25,8.25,166.0,0,2
Iceland,2,7.25,6.42,916.0,1,1
Hungary,2,6.42,8.12,3386.0,2,0
Bulgaria,2,3.5,6.01,1335.0,2,0
Vietnam,1,8.55,9.01,1557.0,0,1
Tunisia,1,6.8,4.96,147.0,1,0
Switzerland,1,6.34,6.74,4956.0,1,0
Russia,1,6.85,11.83,407.0,0,1
Portugal,1,8.3,7.94,482.0,0,1
Mauritius,1,6.28,5.09,205.0,1,0
Malaysia,1,8.76,10.61,4471.0,0,1
Malawi,1,7.89,6.11,1770.0,1,0
Kenya,1,7.8,7.95,1727.0,0,1
Egypt,1,7.2,6.42,37.0,1,0
Chile,1,8.3,15.11,5.0,1,0
Brunei Darussalam,1,7.7,6.13,72.0,0,1
