genre,content_count,avg_score,avg_popularity,avg_vote_count,movie_count,tv_count
Drama,520,7.48,14.17,1760.0,191,329
Comedy,345,7.2,13.66,1861.0,171,174
Action,329,7.16,13.04,2332.0,189,140
Adventure,245,7.39,14.87,2745.0,105,140
Fantasy,210,7.58,17.23,2117.0,63,147
Animation,185,7.7,13.5,1594.0,55,130
Crime,170,7.3,14.9,2564.0,83,87
Sci-Fi,147,7.88,19.51,1734.0,0,147
Thriller,126,6.69,8.76,3157.0,126,0
Mystery,114,7.47,19.05,2474.0,32,82
Family,95,7.15,9.43,2633.0,63,32
Romance,86,6.86,10.43,2294.0,86,0
Science Fiction,60,6.71,8.69,4163.0,60,0
Horror,44,6.48,9.1,2467.0,44,0
Kids,41,7.3,12.7,480.0,0,41
War,31,7.39,11.44,2928.0,19,12
Documentary,26,7.19,10.33,254.0,17,9
History,23,7.2,6.1,2432.0,23,0
Reality,17,6.79,10.77,149.0,0,17
Music,15,7.14,20.23,3693.0,15,0
Politics,12,7.72,17.9,1607.0,0,12
Western,11,6.96,12.72,2615.0,8,3
Talk,2,6.15,25.37,172.0,0,2
TV Movie,2,6.63,4.54,2016.0,2,0
Soap,2,7.85,10.13,461.0,0,2
