id,title,type,genre,tmdb_score,popularity,vote_count,release_year,original_language
738,Pokémon Horizons,TV Show,Action,9.0,18.064,86,2023,ja
736,Arcane,TV Show,Action,8.762,17.8762,5360,2021,en
657,Frieren: Beyond Journey's End,TV Show,Action,8.76,47.1465,517,2023,ja
835,Avatar: The Last Airbender,TV Show,Action,8.758,10.6058,4471,2005,en
707,One Piece,TV Show,Action,8.7,22.0537,4983,1999,ja
778,Fullmetal Alchemist: Brotherhood,TV Show,Action,8.7,13.5315,2250,2009,ja
677,Hunter x Hunter,TV Show,Action,8.666,34.7098,1940,2011,ja
713,Demon Slayer: Kimetsu no Yaiba,TV Show,Action,8.643,23.0421,6852,2019,ja
632,Dan Da Dan,TV Show,Action,8.6,76.8948,654,2024,ja
724,Fighting Spirit,TV Show,Action,8.6,20.2859,1138,2000,ja
851,My Hero Academia,TV Show,Action,8.6,9.9547,5071,2016,ja
828,Scissor Seven,TV Show,Action,8.588,11.2536,733,2018,zh
651,JUJUTSU KAISEN,TV Show,Action,8.575,49.208,3941,2020,ja
691,JoJo's Bizarre Adventure,TV Show,Action,8.556,26.4554,1489,2012,ja
850,Dr. STONE,TV Show,Action,8.547,9.0086,1557,2019,ja
883,The Untamed,TV Show,Action,8.538,7.4446,130,2019,zh
749,Alchemy of Souls,TV Show,Action,8.537,17.2131,709,2022,ko
824,Vincenzo,TV Show,Action,8.524,9.2341,1018,2021,ko
658,Weak Hero,TV Show,Action,8.5,42.8109,293,2022,ko
751,The Rising of the Shield Hero,TV Show,Action,8.5,16.5008,1463,2019,ja
807,Delicious in Dungeon,TV Show,Action,8.5,11.7793,255,2024,ja
809,Mob Psycho 100,TV Show,Action,8.5,12.1956,1195,2016,ja
847,The Umbrella Academy,TV Show,Action,8.5,9.7615,9728,2019,en
1011,BLUE EYE SAMURAI,TV Show,Action,8.5,6.5768,601,2023,en
1097,Vinland Saga,TV Show,Action,8.499,5.6091,833,2019,ja
854,Black Clover,TV Show,Action,8.497,9.8332,1987,2017,ja
1005,Cyberpunk: Edgerunners,TV Show,Action,8.486,7.0009,1586,2022,ja
819,Record of Ragnarok,TV Show,Action,8.451,11.054,1732,2021,ja
672,Naruto,TV Show,Action,8.4,34.4372,5765,2002,ja
848,Dragons: Race to the Edge,TV Show,Action,8.4,10.5997,445,2015,en
864,Rurouni Kenshin,TV Show,Action,8.4,10.1052,127,2023,ja
1050,KENGAN ASHURA,TV Show,Action,8.4,6.025,996,2019,ja
1108,Trollhunters: Tales of Arcadia,TV Show,Action,8.4,5.5552,1114,2016,en
665,Tougen Anki,TV Show,Action,8.348,36.339,23,2025,ja
664,Outer Banks,TV Show,Action,8.336,36.8032,1090,2020,en
715,The Uncanny Counter,TV Show,Action,8.325,23.1603,386,2020,ko
971,Dorohedoro,TV Show,Action,8.32,6.343,366,2020,ja
834,Bloodhounds,TV Show,Action,8.318,9.816,449,2023,ko
678,Sweet Home,TV Show,Action,8.3,29.8081,1494,2020,ko
687,The Last Kingdom,TV Show,Action,8.3,27.6303,1853,2015,en
794,Teenage Mutant Ninja Turtles,TV Show,Action,8.3,12.5223,750,2012,en
812,MASHLE: MAGIC AND MUSCLES,TV Show,Action,8.3,12.525,565,2023,ja
903,Wakfu,TV Show,Action,8.3,7.794,105,2008,fr
913,Vagabond,TV Show,Action,8.3,7.9442,482,2019,ko
951,Jurassic World: Chaos Theory,TV Show,Action,8.3,7.5113,167,2024,en
212,Counterattack,Movie,Action,8.292,10.8435,742,2025,es
331,Neon Genesis Evangelion: The End of Evangelion,Movie,Action,8.272,7.5826,1723,1997,ja
671,Cobra Kai,TV Show,Action,8.213,33.4935,6697,2018,en
830,Dragon Ball DAIMA,TV Show,Action,8.208,10.5745,524,2024,ja
526,Ultraman: Rising,Movie,Action,8.2,5.3685,343,2024,en
685,Alice in Borderland,TV Show,Action,8.2,28.7162,2327,2020,ja
698,LEGO Ninjago: Dragons Rising,TV Show,Action,8.2,24.0111,86,2023,en
781,Yu-Gi-Oh! Duel Monsters,TV Show,Action,8.2,12.67,985,2000,ja
798,The Seven Deadly Sins: Four Knights of the Apocalypse,TV Show,Action,8.2,12.3618,191,2023,ja
888,Gurren Lagann,TV Show,Action,8.2,9.1444,541,2007,ja
1074,The Dragon Prince,TV Show,Action,8.2,5.2121,660,2018,en
780,ONE PIECE,TV Show,Action,8.152,12.7484,1384,2023,en
421,Black Clover: Sword of the Wizard King,Movie,Action,8.144,6.5908,320,2023,ja
246,Jujutsu Kaisen 0,Movie,Action,8.121,10.2307,1547,2021,ja
642,SAKAMOTO DAYS,TV Show,Action,8.117,53.1436,227,2025,ja
624,The Walking Dead: Daryl Dixon,TV Show,Action,8.1,134.6003,745,2023,en
628,Prison Break,TV Show,Action,8.1,108.3591,5576,2005,en
641,S.W.A.T.,TV Show,Action,8.1,61.6658,1503,2017,en
843,Hell's Paradise,TV Show,Action,8.1,11.3707,329,2023,ja
846,Baki Hanma,TV Show,Action,8.1,11.5524,521,2021,ja
869,BAKI,TV Show,Action,8.1,8.9047,1331,2018,ja
884,Cells at Work!,TV Show,Action,8.1,9.6354,287,2018,ja
1000,Top Boy,TV Show,Action,8.1,6.6133,138,2019,en
371,New Gods: Nezha Reborn,Movie,Action,8.098,6.5895,480,2021,zh
635,Vikings,TV Show,Action,8.095,75.6064,7295,2013,en
637,The Walking Dead,TV Show,Action,8.093,69.9486,17182,2010,en
1004,Gyeongseong Creature,TV Show,Action,8.046,6.3925,283,2023,ko
696,The Witcher,TV Show,Action,8.013,33.2069,6250,2019,en
644,Miraculous: Tales of Ladybug & Cat Noir,TV Show,Action,8.0,51.7331,4514,2015,fr
750,The Thundermans,TV Show,Action,8.0,17.3562,578,2013,en
874,Warrior,TV Show,Action,8.0,9.0796,612,2019,en
933,Devil May Cry,TV Show,Action,8.0,7.8168,240,2025,en
