title,type,tmdb_score,popularity,vote_count,release_year,genre,original_language,production_countries,runtime,budget,revenue
Pokémon Horizons,TV Show,9.0,18.064,86,2023,"Sci-Fi & Fantasy, Action & Adventure, Kids, Comedy, Animation",ja,Japan,0,0,0
Breaking Bad,TV Show,8.919,110.2441,16073,2008,"Drama, Crime",en,United States of America,0,0,0
The Good Bad Mother,TV Show,8.9,5.4853,163,2023,"Drama, Comedy",ko,South Korea,0,0,0
Reply 1988,TV Show,8.8,4.8364,188,2015,Comedy,ko,South Korea,0,0,0
The Fragrant Flower Blooms with Dignity,TV Show,8.8,59.419,61,2025,"Animation, Drama, Comedy",ja,Japan,0,0,0
Arcane,TV Show,8.762,17.8762,5360,2021,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",en,"France, United States of America",0,0,0
When Life Gives You Tangerines,TV Show,8.761,19.5593,387,2025,Drama,ko,South Korea,0,0,0
Frieren: Beyond Journey's End,TV Show,8.76,47.1465,517,2023,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",ja,Japan,0,0,0
Avatar: The Last Airbender,TV Show,8.758,10.6058,4471,2005,"Animation, Action & Adventure, Sci-Fi & Fantasy",en,"South Korea, United States of America, Malaysia, Singapore",0,0,0
One Piece,TV Show,8.7,22.0537,4983,1999,"Action & Adventure, Comedy, Animation",ja,Japan,0,0,0
Fullmetal Alchemist: Brotherhood,TV Show,8.7,13.5315,2250,2009,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",ja,Japan,0,0,0
The Apothecary Diaries,TV Show,8.7,32.7474,426,2023,"Animation, Drama, Mystery",ja,Japan,0,0,0
Better Call Saul,TV Show,8.693,35.321,5843,2015,"Crime, Drama",en,United States of America,0,0,0
Hunter x Hunter,TV Show,8.666,34.7098,1940,2011,"Animation, Action & Adventure, Sci-Fi & Fantasy",ja,Japan,0,0,0
Anne with an E,TV Show,8.659,13.6917,4797,2017,"Drama, Family",en,Canada,0,0,0
Slam Dunk,TV Show,8.647,10.0168,932,1993,"Animation, Comedy",ja,Japan,0,0,0
Demon Slayer: Kimetsu no Yaiba,TV Show,8.643,23.0421,6852,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy",ja,Japan,0,0,0
My Hero Academia,TV Show,8.6,9.9547,5071,2016,"Action & Adventure, Animation, Sci-Fi & Fantasy",ja,Japan,0,0,0
Death Note,TV Show,8.6,15.996,4509,2006,"Animation, Mystery, Sci-Fi & Fantasy",ja,Japan,0,0,0
Heartstopper,TV Show,8.6,9.3139,1594,2022,Drama,en,United Kingdom,0,0,0
Haikyu!!,TV Show,8.6,12.0237,1427,2014,"Animation, Comedy, Drama",ja,Japan,0,0,0
Fighting Spirit,TV Show,8.6,20.2859,1138,2000,"Animation, Comedy, Drama, Action & Adventure",ja,Japan,0,0,0
Your Lie in April,TV Show,8.6,8.3192,1066,2014,"Animation, Comedy, Drama",ja,Japan,0,0,0
Dan Da Dan,TV Show,8.6,76.8948,654,2024,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",ja,Japan,0,0,0
Mr. Queen,TV Show,8.6,11.0604,449,2020,"Drama, Comedy, Sci-Fi & Fantasy",ko,South Korea,0,0,0
