release_year,content_count,avg_score,avg_popularity,avg_vote_count,movie_count,tv_count
1971,1,7.48,6.77,3762.0,1,0
1973,1,7.0,6.41,1507.0,1,0
1975,1,7.68,14.52,10998.0,1,0
1978,3,7.0,7.1,2541.0,3,0
1980,1,7.73,7.03,4373.0,1,0
1982,2,7.16,7.82,6422.0,2,0
1984,2,6.69,5.99,3849.0,2,0
1985,1,6.6,5.46,1457.0,1,0
1986,2,6.96,5.53,3735.0,2,0
1987,2,6.79,9.96,1303.0,1,1
1988,1,7.1,4.62,2619.0,1,0
1989,3,7.06,18.43,1890.0,2,1
1991,3,7.16,10.02,926.0,2,1
1992,3,7.25,10.84,2632.0,2,1
1993,8,7.17,10.63,4039.0,5,3
1994,2,7.1,12.96,107.0,0,2
1995,5,7.28,9.09,1992.0,3,2
1996,5,7.04,12.15,2675.0,2,3
1997,4,7.49,13.81,3718.0,3,1
1998,6,6.72,12.97,2843.0,4,2
1999,6,7.3,10.04,2507.0,3,3
2000,8,7.24,16.1,2009.0,4,4
2001,15,7.25,10.93,3745.0,8,7
2002,3,7.71,18.77,4448.0,1,2
2003,7,6.92,27.4,2055.0,4,3
2004,12,7.16,15.4,3692.0,6,6
2005,15,7.4,32.78,4166.0,5,10
2006,8,7.51,9.72,4299.0,4,4
2007,13,7.23,14.44,1908.0,8,5
2008,6,7.27,24.49,5871.0,3,3
2009,11,7.68,13.47,4137.0,2,9
2010,21,7.09,12.04,3938.0,10,11
2011,14,7.39,24.57,4452.0,7,7
2012,20,6.97,14.05,3401.0,11,9
2013,27,7.18,18.65,4908.0,15,12
2014,29,7.18,13.23,4492.0,17,12
2015,34,7.36,14.45,3172.0,12,22
2016,38,7.4,12.69,3119.0,12,26
2017,35,7.46,11.86,2386.0,12,23
2018,64,7.29,9.62,2155.0,27,37
2019,65,7.42,9.83,2701.0,32,33
2020,52,7.52,9.62,1623.0,16,36
2021,61,7.43,9.19,1543.0,27,34
2022,69,7.24,15.55,1209.0,40,29
2023,95,7.34,10.67,682.0,43,52
2024,96,7.07,9.98,700.0,69,27
2025,120,6.99,19.65,186.0,63,57
